19/02/2019 22h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df | Brasília/DF, 19 de fevereiro de 2019
19/02/2019 22h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df |  
19/02/2019 22h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df | Boa noite a todos.
19/02/2019 22h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df | É motivo de satisfação e orgulho em ser convidado para um evento como esse, estar entre homens e mulheres que produzem, em grande parte responsáveis pelo nosso PIB, a locomotiva da nossa economia.
19/02/2019 22h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df | No momento em que eu esperava agradecer o apoio que tive do campo eu tive uma alegria redobrada, eu tive a satisfação de nomear a Senhora Tereza Cristina Ministra da Agricultura, nem vou falar do meu amigo Alceu aqui, de grandes embates e debates por vocês, pelo Brasil, dentro da Câmara dos Deputados.
19/02/2019 22h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df | Cumprimento meu amigo e também contemporâneo de Academia Militar de Agulhas Negras, meu Vice, General Mourão.
19/02/2019 22h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df | E dizer aos senhores quando durante a campanha tivemos uma ideia de unir os Ministérios de Agricultura e Meio Ambiente depois achamos melhor somar forças e temos o prazer de ter ao nosso lado Ricardo Sales, o homem amigo do trabalhador do campo, amigo do Brasil. Tive também a honra de poder indicar o Paulo Guedes, como Ministro da nossa economia, o amigo de vocês, o homem que tem desafios, mas cuja a responsabilidade é dividida entre todos nós.
19/02/2019 22h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df | Nós precisamos das reformas. O Brasil só poderá andar para frente de verdade se aprovarmos essas reformas. Logicamente essa reforma não é minha, não é do Paulo Guedes, é do Brasil, é de todos nós. E com essas reformas nós deslancharemos.
19/02/2019 22h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df | Meus amigos do campo eu também já plantei trinta hectares de arroz lá em Nioaque, Mato grosso do Sul, terra da nossa querida Tereza Cristina. Eu senti na pele o que é plantar, o que é produzir. Não é fácil. São desafios, são batalhas, é trabalho de sol a sol, de segunda a segunda. Contem com alguém agora na Presidência que não vai mais atrapalhá-los, ou melhor, estará ao lado de vocês, para que vocês possam ter a devida segurança jurídica para poder plantar e produzir.
19/02/2019 22h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df | Muitas medidas passam pelo parlamento. O meu compromisso da arma em parte foi atendido, conseguindo driblar a efetiva necessidade e dando o direito de conseguir uma arma de fogo.
19/02/2019 22h30 | https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/discursos/2019/discurso-do-presidente-da-republica-jair-bolsonaro-durante-a-solenidade-de-posse-do-senhor-deputado-alceu-moreira-no-cargo-de-presidente-da-frente-parlamentar-da-agropecuaria-e-de-sua-diretoria-brasilia-df | Meus senhores, minhas senhoras, se estou aqui é porque acredito em vocês. Se vocês estão aqui, é porque acreditam no nosso Brasil. Não existe um país mais bonito, mais maravilhoso do que o nosso e a chance de fazê-lo ainda melhor Deus quis através de nosso trabalho à frente da Presidência apoiado por vocês, bem como escolher um time de 22 ministros. E digo mais, temos tantos os homens quanto as mulheres no nosso ministério, que a Cristina e a Damares, cada uma vale por 10 outros ministros e ninguém, e ninguém, vai dizer que estou errado.
